iteration,round, vertex1, vertex2, old_weight, new_weight, accepted
126,9, 8, 1, 0.448484, 0.447153, 1
127,9, 2, 0, 0.000000, 0.000000, 1
128,9, 4, 3, 0.548663, 0.537007, 1
129,9, 4, 3, 0.537007, 0.527049, 1
130,9, 7, 5, 0.000000, 0.000000, 0
131,9, 6, 1, 0.000000, 0.000000, 0
132,9, 7, 1, 0.000000, 0.000000, 0
133,9, 8, 5, 0.000000, 0.000000, 0
134,9, 9, 0, 0.000000, 0.000000, 1
135,10, 1, 0, 0.000000, 0.000000, 1
136,10, 8, 1, 0.447153, 0.445953, 1
137,10, 2, 0, 0.000000, 0.000000, 1
138,10, 4, 3, 0.527049, 0.518549, 1
139,10, 4, 3, 0.518549, 0.511300, 1
140,10, 7, 5, 0.000000, 0.000000, 0
141,10, 6, 1, 0.000000, 0.000000, 0
142,10, 7, 1, 0.000000, 0.000000, 0
143,10, 8, 5, 0.000000, 0.000000, 0
144,10, 9, 0, 0.000000, 0.000000, 1
145,11, 1, 0, 0.000000, 0.000000, 1
146,11, 8, 1, 0.445953, 0.444871, 1
147,11, 2, 0, 0.000000, 0.000000, 1
148,11, 4, 3, 0.511300, 0.505123, 1
149,11, 4, 3, 0.505123, 0.499863, 1
150,11, 7, 5, 0.000000, 0.000000, 0
151,11, 6, 1, 0.000000, 0.000000, 0
152,11, 7, 1, 0.000000, 0.000000, 0
153,11, 8, 5, 0.000000, 0.000000, 0
154,11, 9, 0, 0.000000, 0.000000, 1
155,12, 1, 0, 0.000000, 0.000000, 1
156,12, 8, 1, 0.444871, 0.443896, 1
157,12, 2, 0, 0.000000, 0.000000, 1
158,12, 4, 3, 0.499863, 0.495385, 1
159,12, 4, 3, 0.495385, 0.491576, 1
160,12, 7, 5, 0.000000, 0.000000, 0
161,12, 6, 1, 0.000000, 0.000000, 0
162,12, 7, 1, 0.000000, 0.000000, 0
163,12, 8, 5, 0.000000, 0.000000, 0
164,12, 9, 0, 0.000000, 0.000000, 1
165,13, 1, 0, 0.000000, 0.000000, 1
166,13, 8, 1, 0.443896, 0.443017, 1
167,13, 2, 0, 0.000000, 0.000000, 1
168,13, 4, 3, 0.491576, 0.488337, 1
169,13, 4, 3, 0.488337, 0.485584, 1
170,13, 7, 5, 0.000000, 0.000000, 0
171,13, 6, 1, 0.000000, 0.000000, 0
172,13, 7, 1, 0.000000, 0.000000, 0
173,13, 8, 5, 0.000000, 0.000000, 0
174,13, 9, 0, 0.000000, 0.000000, 1
175,14, 1, 0, 0.000000, 0.000000, 1
176,14, 8, 1, 0.443017, 0.442225, 1
177,14, 2, 0, 0.000000, 0.000000, 1
178,14, 4, 3, 0.485584, 0.483244, 1
179,14, 4, 3, 0.483244, 0.481256, 1
180,14, 7, 5, 0.000000, 0.000000, 0
181,14, 6, 1, 0.000000, 0.000000, 0
182,14, 7, 1, 0.000000, 0.000000, 0
183,14, 8, 5, 0.000000, 0.000000, 0
184,14, 9, 0, 0.000000, 0.000000, 1
185,15, 1, 0, 0.000000, 0.000000, 1
186,15, 8, 1, 0.442225, 0.441511, 1
187,15, 2, 0, 0.000000, 0.000000, 1
188,15, 4, 3, 0.481256, 0.479568, 1
189,15, 4, 3, 0.479568, 0.478134, 1
190,15, 7, 5, 0.000000, 0.000000, 0
191,15, 6, 1, 0.000000, 0.000000, 0
192,15, 7, 1, 0.000000, 0.000000, 0
193,15, 8, 5, 0.000000, 0.000000, 0
194,15, 9, 0, 0.000000, 0.000000, 1
195,16, 1, 0, 0.000000, 0.000000, 1
196,16, 8, 1, 0.441511, 0.440868, 1
197,16, 2, 0, 0.000000, 0.000000, 1
198,16, 4, 3, 0.478134, 0.476917, 1
199,16, 4, 3, 0.476917, 0.475884, 1
200,16, 7, 5, 0.000000, 0.000000, 0
201,16, 6, 1, 0.000000, 0.000000, 0
202,16, 7, 1, 0.000000, 0.000000, 0
203,16, 8, 5, 0.000000, 0.000000, 0
204,16, 9, 0, 0.000000, 0.000000, 1
205,17, 1, 0, 0.000000, 0.000000, 1
206,17, 8, 1, 0.440868, 0.440289, 1
207,17, 2, 0, 0.000000, 0.000000, 1
208,17, 4, 3, 0.475884, 0.475006, 1
209,17, 4, 3, 0.475006, 0.474262, 1
210,17, 7, 5, 0.000000, 0.000000, 0
211,17, 6, 1, 0.000000, 0.000000, 0
212,17, 7, 1, 0.000000, 0.000000, 0
213,17, 8, 5, 0.000000, 0.000000, 0
214,17, 9, 0, 0.000000, 0.000000, 1
215,18, 1, 0, 0.000000, 0.000000, 1
216,18, 8, 1, 0.440289, 0.439767, 1
217,18, 2, 0, 0.000000, 0.000000, 1
218,18, 4, 3, 0.474262, 0.473630, 1
219,18, 4, 3, 0.473630, 0.473094, 1
220,18, 7, 5, 0.000000, 0.000000, 0
221,18, 6, 1, 0.000000, 0.000000, 0
222,18, 7, 1, 0.000000, 0.000000, 0
223,18, 8, 5, 0.000000, 0.000000, 0
224,18, 9, 0, 0.000000, 0.000000, 1
225,19, 1, 0, 0.000000, 0.000000, 1
226,19, 8, 1, 0.439767, 0.439297, 1
227,19, 2, 0, 0.000000, 0.000000, 1
228,19, 4, 3, 0.473094, 0.472639, 1
229,19, 4, 3, 0.472639, 0.472253, 1
230,19, 7, 5, 0.000000, 0.000000, 0
231,19, 6, 1, 0.000000, 0.000000, 0
232,19, 7, 1, 0.000000, 0.000000, 0
233,19, 8, 5, 0.000000, 0.000000, 0
234,19, 9, 0, 0.000000, 0.000000, 1
235,20, 1, 0, 0.000000, 0.000000, 1
236,20, 8, 1, 0.439297, 0.438873, 1
237,20, 2, 0, 0.000000, 0.000000, 1
238,20, 4, 3, 0.472253, 0.471925, 1
239,20, 4, 3, 0.471925, 0.471647, 1
240,20, 7, 5, 0.000000, 0.000000, 0
241,20, 6, 1, 0.000000, 0.000000, 0
242,20, 7, 1, 0.000000, 0.000000, 0
243,20, 8, 5, 0.000000, 0.000000, 0
244,20, 9, 0, 0.000000, 0.000000, 1
245,21, 1, 0, 0.000000, 0.000000, 1
246,21, 8, 1, 0.438873, 0.438492, 1
247,21, 2, 0, 0.000000, 0.000000, 1
248,21, 4, 3, 0.471647, 0.471411, 1
249,21, 4, 3, 0.471411, 0.471211, 1
250,21, 7, 5, 0.000000, 0.000000, 0
251,21, 6, 1, 0.000000, 0.000000, 0
252,21, 7, 1, 0.000000, 0.000000, 0
253,21, 8, 5, 0.000000, 0.000000, 0
254,21, 9, 0, 0.000000, 0.000000, 1
255,22, 1, 0, 0.000000, 0.000000, 1
256,22, 8, 1, 0.438492, 0.438149, 1
257,22, 2, 0, 0.000000, 0.000000, 1
258,22, 4, 3, 0.471211, 0.471042, 1
259,22, 4, 3, 0.471042, 0.470898, 1
260,22, 7, 5, 0.000000, 0.000000, 0
261,22, 6, 1, 0.000000, 0.000000, 0
262,22, 7, 1, 0.000000, 0.000000, 0
263,22, 8, 5, 0.000000, 0.000000, 0
264,22, 9, 0, 0.000000, 0.000000, 1
265,23, 1, 0, 0.000000, 0.000000, 1
266,23, 8, 1, 0.438149, 0.437840, 1
267,23, 2, 0, 0.000000, 0.000000, 1
268,23, 4, 3, 0.470898, 0.470776, 1
269,23, 4, 3, 0.470776, 0.470672, 1
270,23, 7, 5, 0.000000, 0.000000, 0
271,23, 6, 1, 0.000000, 0.000000, 0
272,23, 7, 1, 0.000000, 0.000000, 0
273,23, 8, 5, 0.000000, 0.000000, 0
274,23, 9, 0, 0.000000, 0.000000, 1
275,24, 1, 0, 0.000000, 0.000000, 1
276,24, 8, 1, 0.437840, 0.437561, 1
277,24, 2, 0, 0.000000, 0.000000, 1
278,24, 4, 3, 0.470672, 0.470584, 1
279,24, 4, 3, 0.470584, 0.470509, 1
280,24, 7, 5, 0.000000, 0.000000, 0
281,24, 6, 1, 0.000000, 0.000000, 0
282,24, 7, 1, 0.000000, 0.000000, 0
283,24, 8, 5, 0.000000, 0.000000, 0
284,24, 9, 0, 0.000000, 0.000000, 1
285,25, 1, 0, 0.000000, 0.000000, 1
286,25, 8, 1, 0.437561, 0.437311, 1
287,25, 2, 0, 0.000000, 0.000000, 1
288,25, 4, 3, 0.470509, 0.470446, 1
289,25, 4, 3, 0.470446, 0.470393, 1
290,25, 7, 5, 0.000000, 0.000000, 0
291,25, 6, 1, 0.000000, 0.000000, 0
292,25, 7, 1, 0.000000, 0.000000, 0
293,25, 8, 5, 0.000000, 0.000000, 0
294,25, 9, 0, 0.000000, 0.000000, 1
295,26, 1, 0, 0.000000, 0.000000, 1
296,26, 8, 1, 0.437311, 0.437085, 1
297,26, 2, 0, 0.000000, 0.000000, 1
298,26, 4, 3, 0.470393, 0.470347, 1
299,26, 4, 3, 0.470347, 0.470308, 1
300,26, 7, 5, 0.000000, 0.000000, 0
301,26, 6, 1, 0.000000, 0.000000, 0
302,26, 7, 1, 0.000000, 0.000000, 0
303,26, 8, 5, 0.000000, 0.000000, 0
